"NoCom","CodeCli","NoEmp","DateCom","ALivAvant","DateEnv","NoMess","Port","Destinataire","AdrLiv","VilleLiv","RegionLiv","CodepostalLiv","PaysLiv"
"10281","ROMEY","4","2014-09-14","2014-09-28","2014-09-21","1","15","Romero y tomillo","Gran Vía, 1","Madrid","","28001","Espagne"
"10282","ROMEY","4","2014-09-15","2014-10-13","2014-09-21","1","63","Romero y tomillo","Gran Vía, 1","Madrid","","28001","Espagne"
"10283","LILAS","3","2014-09-16","2014-10-14","2014-09-23","3","424","LILA-Supermercado","Carrera 52 con Ave. Bolívar #65-98 Llano Largo","Barquisimeto","Lara","3508","Venezuela"
"10284","LEHMS","4","2014-09-19","2014-10-17","2014-09-27","1","383","Lehmanns Marktstand","Magazinweg 7","Frankfurt a.M.","","60528","Allemagne"
"10285","QUICK","1","2014-09-20","2014-10-18","2014-09-26","2","384","QUICK-Stop","Taucherstraße 10","Cunewalde","","1307","Allemagne"
"10286","QUICK","8","2014-09-21","2014-10-19","2014-09-30","3","1146","QUICK-Stop","Taucherstraße 10","Cunewalde","","1307","Allemagne"
"10287","RICAR","8","2014-09-22","2014-10-20","2014-09-28","3","64","Ricardo Adocicados","Av. Copacabana, 267","Rio de Janeiro","RJ","02389-890","Brésil"
"10288","REGGC","4","2014-09-23","2014-10-21","2014-10-04","1","37","Reggiani Caseifici","Strada Provinciale 124","Reggio Emilia","","42100","Italie"
"10289","BSBEV","7","2014-09-26","2014-10-24","2014-09-28","3","114","Bs Beverages","Fauntleroy Circus","London","","EC2 5NT","Royaume-Uni"
"10290","COMMI","8","2014-09-27","2014-10-25","2014-10-04","1","398","Comércio Mineiro","Av. dos Lusíadas, 23","São Paulo","SP","05432-043","Brésil"
"10291","QUEDE","6","2014-09-27","2014-10-25","2014-10-05","2","32","Que Delícia","Rua da Panificadora, 12","Rio de Janeiro","RJ","02389-673","Brésil"
"10292","TRADH","1","2014-09-28","2014-10-26","2014-10-03","2","7","Tradição Hipermercados","Av. Inês de Castro, 414","São Paulo","SP","05634-030","Brésil"
"10293","TORTU","1","2014-09-29","2014-10-27","2014-10-12","3","106","Tortuga Restaurante","Avda. Azteca 123","México D.F.","","5033","Mexique"
"10294","RATTC","4","2014-09-30","2014-10-28","2014-10-06","2","736","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","Etats-Unis"
"10295","VINET","2","2014-10-03","2014-10-31","2014-10-11","2","6","Vins et alcools Chevalier","59 rue de lAbbaye","Reims","","51100","France"
"10296","LILAS","6","2014-10-04","2014-11-01","2014-10-12","1","1","LILA-Supermercado","Carrera 52 con Ave. Bolívar #65-98 Llano Largo","Barquisimeto","Lara","3508","Venezuela"
"10297","BLONP","5","2014-10-05","2014-11-16","2014-10-11","2","29","Blondel père et fils","24, place Kléber","Strasbourg","","67000","France"
"10298","HUNGO","6","2014-10-06","2014-11-03","2014-10-12","2","841","Hungry Owl All-Night Grocers","8 Johnstown Road","Cork","Co. Cork","","Irlande"
"10299","RICAR","4","2014-10-07","2014-11-04","2014-10-14","2","149","Ricardo Adocicados","Av. Copacabana, 267","Rio de Janeiro","RJ","02389-890","Brésil"
"10300","MAGAA","2","2014-10-10","2014-11-07","2014-10-19","2","88","Magazzini Alimentari Riuniti","Via Ludovico il Moro 22","Bergamo","","24100","Italie"
"10301","WANDK","8","2014-10-10","2014-11-07","2014-10-18","2","225","Die Wandernde Kuh","Adenauerallee 900","Stuttgart","","70563","Allemagne"
"10302","SUPRD","4","2014-10-11","2014-11-08","2014-11-09","2","31","Suprêmes délices","Boulevard Tirou, 255","Charleroi","","B-6000","Belgique"
"10303","GODOS","7","2014-10-12","2014-11-09","2014-10-19","2","539","Godos Cocina Típica","C/ Romero, 33","Sevilla","","41101","Espagne"
"10304","TORTU","1","2014-10-13","2014-11-10","2014-10-18","2","319","Tortuga Restaurante","Avda. Azteca 123","México D.F.","","5033","Mexique"
"10305","OLDWO","8","2014-10-14","2014-11-11","2014-11-09","3","1288","Old World Delicatessen","2743 Bering St.","Anchorage","AK","99508","Etats-Unis"
"10306","ROMEY","1","2014-10-17","2014-11-14","2014-10-24","3","38","Romero y tomillo","Gran Vía, 1","Madrid","","28001","Espagne"
"10307","LONEP","2","2014-10-18","2014-11-15","2014-10-26","2","3","Lonesome Pine Restaurant","89 Chiaroscuro Rd.","Portland","OR","97219","Etats-Unis"
"10308","ANATR","7","2014-10-19","2014-11-16","2014-10-25","3","8","Ana Trujillo Emparedados y helados","Avda. de la Constitución 2222","México D.F.","","5021","Mexique"
"10309","HUNGO","3","2014-10-20","2014-11-17","2014-11-23","1","236","Hungry Owl All-Night Grocers","8 Johnstown Road","Cork","Co. Cork","","Irlande"
"10310","THEBI","8","2014-10-21","2014-11-18","2014-10-28","2","88","The Big Cheese","89 Jefferson Way  Suite 2","Portland","OR","97201","Etats-Unis"
"10311","DUMON","1","2014-10-21","2014-11-04","2014-10-27","3","123","Du monde entier","67, rue des Cinquante Otages","Nantes","","44000","France"
"10312","WANDK","2","2014-10-24","2014-11-21","2014-11-03","2","201","Die Wandernde Kuh","Adenauerallee 900","Stuttgart","","70563","Allemagne"
"10313","QUICK","2","2014-10-25","2014-11-22","2014-11-04","2","10","QUICK-Stop","Taucherstraße 10","Cunewalde","","1307","Allemagne"
"10314","RATTC","1","2014-10-26","2014-11-23","2014-11-04","2","371","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","Etats-Unis"
"10315","ISLAT","4","2014-10-27","2014-11-24","2014-11-03","2","209","Island Trading","Garden House  Crowther Way","Cowes","Isle of Wigth","PO31 7PJ","Royaume-Uni"
"10316","RATTC","1","2014-10-28","2014-11-25","2014-11-08","3","751","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","Etats-Unis"
"10317","LONEP","6","2014-10-31","2014-11-28","2014-11-10","1","63","Lonesome Pine Restaurant","89 Chiaroscuro Rd.","Portland","OR","97219","Etats-Unis"
"10318","ISLAT","8","2014-11-01","2014-11-29","2014-11-04","2","24","Island Trading","Garden House  Crowther Way","Cowes","Isle of Wigth","PO31 7PJ","Royaume-Uni"
"10319","TORTU","7","2014-11-02","2014-11-30","2014-11-11","3","322","Tortuga Restaurante","Avda. Azteca 123","México D.F.","","5033","Mexique"
"10320","WARTH","5","2014-11-03","2014-11-17","2014-11-18","3","173","Wartian Herkku","Torikatu 38","Oulu","","90110","Finlande"
"10321","ISLAT","3","2014-11-03","2014-12-01","2014-11-11","2","17","Island Trading","Garden House  Crowther Way","Cowes","Isle of Wigth","PO31 7PJ","Royaume-Uni"
"10322","PERIC","7","2014-11-04","2014-12-02","2014-11-23","3","2","Pericles Comidas clásicas","Calle Dr. Jorge Cash 321","México D.F.","","5033","Mexique"
"10323","KOENE","4","2014-11-07","2014-12-05","2014-11-14","1","24","Königlich Essen","Maubelstr. 90","Brandenburg","","14776","Allemagne"
"10324","SAVEA","9","2014-11-08","2014-12-06","2014-11-10","1","1071","Save-a-lot Markets","187 Suffolk Ln.","Boise","ID","83720","Etats-Unis"
"10325","KOENE","1","2014-11-09","2014-11-23","2014-11-14","3","324","Königlich Essen","Maubelstr. 90","Brandenburg","","14776","Allemagne"
"10326","BOLID","4","2014-11-10","2014-12-08","2014-11-14","2","390","Bólido Comidas preparadas","C/ Araquil, 67","Madrid","","28023","Espagne"
"10327","FOLKO","2","2014-11-11","2014-12-09","2014-11-14","1","317","Folk och fä HB","Åkergatan 24","Bräcke","","S-844 67","Suède"
"10328","FURIB","4","2014-11-14","2014-12-12","2014-11-17","3","435","Furia Bacalhau e Frutos do Mar","Jardim das rosas n. 32","Lisboa","","1675","Portugal"
"10329","SPLIR","4","2014-11-15","2014-12-27","2014-11-23","2","958","Split Rail Beer & Ale","P.O. Box 555","Lander","WY","82520","Etats-Unis"
"10330","LILAS","3","2014-11-16","2014-12-14","2014-11-28","1","64","LILA-Supermercado","Carrera 52 con Ave. Bolívar #65-98 Llano Largo","Barquisimeto","Lara","3508","Venezuela"
"10331","BONAP","9","2014-11-16","2014-12-28","2014-11-21","1","51","Bon app","12, rue des Bouchers","Marseille","","13008","France"
"10332","MEREP","3","2014-11-17","2014-12-29","2014-11-21","2","264","Mère Paillarde","43 rue St. Laurent","Montréal","Québec","H1J 1C3","Canada"
"10333","WARTH","5","2014-11-18","2014-12-16","2014-11-25","3","3","Wartian Herkku","Torikatu 38","Oulu","","90110","Finlande"
"10334","VICTE","8","2014-11-21","2014-12-19","2014-11-28","2","43","Victuailles en stock","2, rue du Commerce","Lyon","","69004","France"
"10335","HUNGO","7","2014-11-22","2014-12-20","2014-11-24","2","211","Hungry Owl All-Night Grocers","8 Johnstown Road","Cork","Co. Cork","","Irlande"
"10336","PRINI","7","2014-11-23","2014-12-21","2014-11-25","2","78","Princesa Isabel Vinhos","Estrada da saúde n. 58","Lisboa","","1756","Portugal"
"10337","FRANK","4","2014-11-24","2014-12-22","2014-11-29","3","541","Frankenversand","Berliner Platz 43","München","","80805","Allemagne"
"10338","OLDWO","4","2014-11-25","2014-12-23","2014-11-29","3","421","Old World Delicatessen","2743 Bering St.","Anchorage","AK","99508","Etats-Unis"
"10339","MEREP","2","2014-11-28","2014-12-26","2014-12-05","2","78","Mère Paillarde","43 rue St. Laurent","Montréal","Québec","H1J 1C3","Canada"
"10340","BONAP","1","2014-11-29","2014-12-27","2014-12-09","3","832","Bon app","12, rue des Bouchers","Marseille","","13008","France"
"10341","SIMOB","7","2014-11-29","2014-12-27","2014-12-06","3","134","Simons bistro","Vinbæltet 34","København","","1734","Danemark"
"10342","FRANK","4","2014-11-30","2014-12-14","2014-12-05","2","274","Frankenversand","Berliner Platz 43","München","","80805","Allemagne"
"10343","LEHMS","4","2014-12-01","2014-12-29","2014-12-07","1","552","Lehmanns Marktstand","Magazinweg 7","Frankfurt a.M.","","60528","Allemagne"
"10344","WHITC","4","2014-12-02","2014-12-30","2014-12-06","2","116","White Clover Markets","1029 - 12th Ave. S.","Seattle","WA","98124","Etats-Unis"
"10345","QUICK","2","2014-12-05","2015-01-02","2014-12-12","2","1245","QUICK-Stop","Taucherstraße 10","Cunewalde","","1307","Allemagne"
"10346","RATTC","3","2014-12-06","2015-01-17","2014-12-09","3","710","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","Etats-Unis"
"10347","FAMIA","4","2014-12-07","2015-01-04","2014-12-09","3","16","Familia Arquibaldo","Rua Orós, 92","São Paulo","SP","05442-030","Brésil"
"10348","WANDK","4","2014-12-08","2015-01-05","2014-12-16","2","4","Die Wandernde Kuh","Adenauerallee 900","Stuttgart","","70563","Allemagne"
"10349","SPLIR","7","2014-12-09","2015-01-06","2014-12-16","1","43","Split Rail Beer & Ale","P.O. Box 555","Lander","WY","82520","Etats-Unis"
"10350","LAMAI","6","2014-12-12","2015-01-09","2015-01-03","2","321","La maison dAsie","1 rue Alsace-Lorraine","Toulouse","","31000","France"
"10351","ERNSH","1","2014-12-12","2015-01-09","2014-12-21","1","812","Ernst Handel","Kirchgasse 6","Graz","","8010","Autriche"
"10352","FURIB","3","2014-12-13","2014-12-27","2014-12-19","3","6","Furia Bacalhau e Frutos do Mar","Jardim das rosas n. 32","Lisboa","","1675","Portugal"
"10353","PICCO","7","2014-12-14","2015-01-11","2014-12-26","3","1803","Piccolo und mehr","Geislweg 14","Salzburg","","5020","Autriche"
"10354","PERIC","8","2014-12-15","2015-01-12","2014-12-21","3","269","Pericles Comidas clásicas","Calle Dr. Jorge Cash 321","México D.F.","","5033","Mexique"
"10355","AROUT","6","2014-12-16","2015-01-13","2014-12-21","2","210","Around the Horn","Brook Farm  Stratford St. Mary","Colchester","Essex","CO7 6JX","Royaume-Uni"
"10356","WANDK","6","2014-12-19","2015-01-16","2014-12-28","2","184","Die Wandernde Kuh","Adenauerallee 900","Stuttgart","","70563","Allemagne"
"10357","LILAS","1","2014-12-20","2015-01-17","2015-01-02","3","174","LILA-Supermercado","Carrera 52 con Ave. Bolívar #65-98 Llano Largo","Barquisimeto","Lara","3508","Venezuela"
"10358","LAMAI","5","2014-12-21","2015-01-18","2014-12-28","1","98","La maison dAsie","1 rue Alsace-Lorraine","Toulouse","","31000","France"
"10359","SEVES","5","2014-12-22","2015-01-19","2014-12-27","3","1442","Seven Seas Imports","90 Wadhurst Rd.","London","","OX15 4NB","Royaume-Uni"
"10360","BLONP","4","2014-12-23","2015-01-20","2015-01-02","3","658","Blondel père et fils","24, place Kléber","Strasbourg","","67000","France"
"10361","QUICK","1","2014-12-23","2015-01-20","2015-01-03","2","916","QUICK-Stop","Taucherstraße 10","Cunewalde","","1307","Allemagne"
"10362","BONAP","3","2014-12-26","2015-01-23","2014-12-29","1","480","Bon app","12, rue des Bouchers","Marseille","","13008","France"
"10363","DRACD","4","2014-12-27","2015-01-24","2015-01-04","3","153","Drachenblut Delikatessen","Walserweg 21","Aachen","","52066","Allemagne"
"10364","EASTC","1","2014-12-27","2015-02-07","2015-01-04","1","360","Eastern Connection","35 King George","London","","WX3 6FW","Royaume-Uni"
"10365","ANTON","3","2014-12-28","2015-01-25","2015-01-02","2","110","Antonio Moreno Taquería","Mataderos  2312","México D.F.","","5023","Mexique"
"10366","GALED","8","2014-12-29","2015-02-09","2015-01-30","2","51","Galería del gastronómo","Rambla de Cataluña, 23","Barcelona","","8022","Espagne"
"10367","VAFFE","7","2014-12-29","2015-01-26","2015-01-02","3","68","Vaffeljernet","Smagsløget 45","Århus","","8200","Danemark"
"10368","ERNSH","2","2014-12-30","2015-01-27","2015-01-02","2","510","Ernst Handel","Kirchgasse 6","Graz","","8010","Autriche"
"10369","SPLIR","8","2015-01-02","2015-01-30","2015-01-09","2","978","Split Rail Beer & Ale","P.O. Box 555","Lander","WY","82520","Etats-Unis"
"10370","CHOPS","6","2015-01-03","2015-01-31","2015-01-27","2","6","Chop-suey Chinese","Hauptstr. 31","Bern","","3012","Suisse"
"10371","LAMAI","1","2015-01-03","2015-01-31","2015-01-24","1","2","La maison dAsie","1 rue Alsace-Lorraine","Toulouse","","31000","France"
"10372","QUEEN","5","2015-01-04","2015-02-01","2015-01-09","2","4454","Queen Cozinha","Alameda dos Canàrios, 891","São Paulo","SP","05487-020","Brésil"
"10373","HUNGO","4","2015-01-05","2015-02-02","2015-01-11","1","621","Hungry Owl All-Night Grocers","8 Johnstown Road","Cork","Co. Cork","","Irlande"
"10374","WOLZA","1","2015-01-05","2015-02-02","2015-01-09","1","20","Wolski Zajazd","ul. Filtrowa 68","Warszawa","","01-012","Pologne"
"10375","HUNGC","3","2015-01-06","2015-02-03","2015-01-09","2","101","Hungry Coyote Import Store","City Center Plaza  516 Main St.","Elgin","OR","97827","Etats-Unis"
"10376","MEREP","1","2015-01-09","2015-02-06","2015-01-13","2","102","Mère Paillarde","43 rue St. Laurent","Montréal","Québec","H1J 1C3","Canada"
"10377","SEVES","1","2015-01-09","2015-02-06","2015-01-13","1","111","Seven Seas Imports","90 Wadhurst Rd.","London","","OX15 4NB","Royaume-Uni"
"10378","FOLKO","5","2015-01-10","2015-02-07","2015-01-19","1","27","Folk och fä HB","Åkergatan 24","Bräcke","","S-844 67","Suède"
"10379","QUEDE","2","2015-01-11","2015-02-08","2015-01-13","1","225","Que Delícia","Rua da Panificadora, 12","Rio de Janeiro","RJ","02389-673","Brésil"
"10380","HUNGO","8","2015-01-12","2015-02-09","2015-02-16","1","175","Hungry Owl All-Night Grocers","8 Johnstown Road","Cork","Co. Cork","","Irlande"
"10381","LILAS","3","2015-01-12","2015-02-09","2015-01-13","1","40","LILA-Supermercado","Carrera 52 con Ave. Bolívar #65-98 Llano Largo","Barquisimeto","Lara","3508","Venezuela"
"10382","ERNSH","4","2015-01-13","2015-02-10","2015-01-16","1","474","Ernst Handel","Kirchgasse 6","Graz","","8010","Autriche"
"10383","AROUT","8","2015-01-16","2015-02-13","2015-01-18","1","171","Around the Horn","Brook Farm  Stratford St. Mary","Colchester","Essex","CO7 6JX","Royaume-Uni"
"10384","BERGS","3","2015-01-16","2015-02-13","2015-01-20","1","843","Berglunds snabbköp","Berguvsvägen  8","Luleå","","S-958 22","Suède"
"10385","SPLIR","1","2015-01-17","2015-02-14","2015-01-23","2","155","Split Rail Beer & Ale","P.O. Box 555","Lander","WY","82520","Etats-Unis"
"10386","FAMIA","9","2015-01-18","2015-02-01","2015-01-25","1","70","Familia Arquibaldo","Rua Orós, 92","São Paulo","SP","05442-030","Brésil"
"10387","SANTG","1","2015-01-18","2015-02-15","2015-01-20","2","468","Santé Gourmet","Erling Skakkes gate 78","Stavern","","4110","Norvège"
"10388","SEVES","2","2015-01-19","2015-02-16","2015-01-20","1","174","Seven Seas Imports","90 Wadhurst Rd.","London","","OX15 4NB","Royaume-Uni"
"10389","BOTTM","4","2015-01-20","2015-02-17","2015-01-24","2","237","Bottom-Dollar Markets","23 Tsawassen Blvd.","Tsawassen","BC","T2F 8M4","Canada"
"10390","ERNSH","6","2015-01-23","2015-02-20","2015-01-26","1","632","Ernst Handel","Kirchgasse 6","Graz","","8010","Autriche"
"10391","DRACD","3","2015-01-23","2015-02-20","2015-01-31","1","27","Drachenblut Delikatessen","Walserweg 21","Aachen","","52066","Allemagne"
"10392","PICCO","2","2015-01-24","2015-02-21","2015-02-01","1","612","Piccolo und mehr","Geislweg 14","Salzburg","","5020","Autriche"
"10393","SAVEA","1","2015-01-25","2015-02-22","2015-02-03","1","633","Save-a-lot Markets","187 Suffolk Ln.","Boise","ID","83720","Etats-Unis"
"10394","HUNGC","1","2015-01-25","2015-02-22","2015-02-03","1","152","Hungry Coyote Import Store","City Center Plaza  516 Main St.","Elgin","OR","97827","Etats-Unis"
"10395","HILAA","6","2015-01-26","2015-02-23","2015-02-03","1","922","HILARIÓN-Abastos","Carrera 22 con Ave. Carlos Soublette #8-35","San Cristóbal","Táchira","5022","Venezuela"
"10396","FRANK","1","2015-01-27","2015-02-10","2015-02-06","1","677","Frankenversand","Berliner Platz 43","München","","80805","Allemagne"
"10397","PRINI","5","2015-01-27","2015-02-24","2015-02-02","1","301","Princesa Isabel Vinhos","Estrada da saúde n. 58","Lisboa","","1756","Portugal"
"10398","SAVEA","2","2015-01-30","2015-02-27","2015-02-09","1","446","Save-a-lot Markets","187 Suffolk Ln.","Boise","ID","83720","Etats-Unis"
"10399","VAFFE","8","2015-01-31","2015-02-14","2015-02-08","1","137","Vaffeljernet","Smagsløget 45","Århus","","8200","Danemark"
"10400","EASTC","1","2015-02-01","2015-03-01","2015-02-16","1","420","Eastern Connection","35 King George","London","","WX3 6FW","Royaume-Uni"
"10401","RATTC","1","2015-02-01","2015-03-01","2015-02-10","1","63","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","Etats-Unis"
"10402","ERNSH","8","2015-02-02","2015-03-16","2015-02-10","2","339","Ernst Handel","Kirchgasse 6","Graz","","8010","Autriche"
"10403","ERNSH","4","2015-02-03","2015-03-03","2015-02-09","1","369","Ernst Handel","Kirchgasse 6","Graz","","8010","Autriche"
"10404","MAGAA","2","2015-02-03","2015-03-03","2015-02-08","1","780","Magazzini Alimentari Riuniti","Via Ludovico il Moro 22","Bergamo","","24100","Italie"
"10405","LINOD","1","2015-02-06","2015-03-06","2015-02-22","1","174","LINO-Delicateses","Ave. 5 de Mayo Porlamar","I. de Margarita","Nueva Esparta","4980","Venezuela"
"10406","QUEEN","7","2015-02-07","2015-03-21","2015-02-13","1","540","Queen Cozinha","Alameda dos Canàrios, 891","São Paulo","SP","05487-020","Brésil"
"10407","OTTIK","2","2015-02-07","2015-03-07","2015-03-02","2","457","Ottilies Käseladen","Mehrheimerstr. 369","Köln","","50739","Allemagne"
"10408","FOLIG","8","2015-02-08","2015-03-08","2015-02-14","1","56","Folies gourmandes","184, chaussée de Tournai","Lille","","59000","France"
"10409","OCEAN","3","2015-02-09","2015-03-09","2015-02-14","1","149","Océano Atlántico Ltda.","Ing. Gustavo Moncada 8585  Piso 20-A","Buenos Aires","","1010","Argentine"
"10410","BOTTM","3","2015-02-10","2015-03-10","2015-02-15","1","12","Bottom-Dollar Markets","23 Tsawassen Blvd.","Tsawassen","BC","T2F 8M4","Canada"
"10411","BOTTM","9","2015-02-10","2015-03-10","2015-02-21","1","118","Bottom-Dollar Markets","23 Tsawassen Blvd.","Tsawassen","BC","T2F 8M4","Canada"
"10412","WARTH","8","2015-02-13","2015-03-13","2015-02-15","2","19","Wartian Herkku","Torikatu 38","Oulu","","90110","Finlande"
"10413","LAMAI","3","2015-02-14","2015-03-14","2015-02-16","2","478","La maison dAsie","1 rue Alsace-Lorraine","Toulouse","","31000","France"
"10414","FAMIA","2","2015-02-14","2015-03-14","2015-02-17","1","107","Familia Arquibaldo","Rua Orós, 92","São Paulo","SP","05442-030","Brésil"
"10415","HUNGC","3","2015-02-15","2015-03-15","2015-02-24","1","1","Hungry Coyote Import Store","City Center Plaza  516 Main St.","Elgin","OR","97827","Etats-Unis"
"10416","WARTH","8","2015-02-16","2015-03-16","2015-02-27","1","114","Wartian Herkku","Torikatu 38","Oulu","","90110","Finlande"
"10417","SIMOB","4","2015-02-16","2015-03-16","2015-02-28","1","351","Simons bistro","Vinbæltet 34","København","","1734","Danemark"
"10418","QUICK","4","2015-02-17","2015-03-17","2015-02-24","1","88","QUICK-Stop","Taucherstraße 10","Cunewalde","","1307","Allemagne"
"10419","RICSU","4","2015-02-20","2015-03-20","2015-03-02","2","687","Richter Supermarkt","Starenweg 5","Genève","","1204","Suisse"
"10420","WELLI","3","2015-02-21","2015-03-21","2015-02-27","1","221","Wellington Importadora","Rua do Mercado, 12","Resende","SP","08737-363","Brésil"
"10421","QUEDE","8","2015-02-21","2015-04-04","2015-02-27","1","496","Que Delícia","Rua da Panificadora, 12","Rio de Janeiro","RJ","02389-673","Brésil"
"10422","FRANS","2","2015-02-22","2015-03-22","2015-03-03","1","15","Franchi S.p.A.","Via Monte Bianco 34","Torino","","10100","Italie"
"10423","GOURL","6","2015-02-23","2015-03-09","2015-03-27","1","122","Gourmet Lanchonetes","Av. Brasil, 442","Campinas","SP","04876-786","Brésil"
"10424","MEREP","7","2015-02-23","2015-03-23","2015-02-27","2","1853","Mère Paillarde","43 rue St. Laurent","Montréal","Québec","H1J 1C3","Canada"
"10425","LAMAI","6","2015-02-24","2015-03-24","2015-03-17","2","40","La maison dAsie","1 rue Alsace-Lorraine","Toulouse","","31000","France"
"10426","GALED","4","2015-02-27","2015-03-27","2015-03-09","1","93","Galería del gastronómo","Rambla de Cataluña, 23","Barcelona","","8022","Espagne"
